Frame	Tempo (s)	Emoção
0	0.00	sad
0	0.00	fear
1	0.03	happy
1	0.03	fear
2	0.07	happy
3	0.10	sad
4	0.13	happy
5	0.17	sad
5	0.17	fear
6	0.20	fear
7	0.23	happy
7	0.23	fear
8	0.27	fear
9	0.30	sad
10	0.33	happy
11	0.37	happy
11	0.37	fear
12	0.40	fear
13	0.43	fear
14	0.47	fear
15	0.50	sad
16	0.53	happy
16	0.53	fear
17	0.57	fear
18	0.60	fear
19	0.63	fear
20	0.67	fear
21	0.70	happy
22	0.73	happy
22	0.73	fear
23	0.77	fear
24	0.80	fear
25	0.83	fear
26	0.87	happy
27	0.90	happy
27	0.90	fear
28	0.93	sad
28	0.93	fear
29	0.97	happy
30	1.00	fear
31	1.03	fear
32	1.07	fear
33	1.10	fear
34	1.13	sad
35	1.17	happy
35	1.17	fear
36	1.20	fear
37	1.23	fear
38	1.27	angry
39	1.30	fear
40	1.33	angry
41	1.37	sad
41	1.37	angry
42	1.40	fear
42	1.40	angry
43	1.43	fear
43	1.43	angry
44	1.47	fear
45	1.50	angry
46	1.53	fear
47	1.57	neutral
48	1.60	angry
49	1.63	angry
50	1.67	fear
51	1.70	angry
52	1.73	fear
53	1.77	angry
54	1.80	angry
55	1.83	angry
56	1.87	angry
57	1.90	angry
58	1.93	fear
59	1.97	fear
60	2.00	angry
61	2.03	angry
62	2.07	neutral
62	2.07	fear
63	2.10	sad
64	2.13	fear
65	2.17	angry
66	2.20	fear
67	2.23	fear
68	2.27	fear
69	2.30	fear
70	2.33	sad
71	2.37	sad
72	2.40	fear
73	2.43	fear
74	2.47	angry
75	2.50	angry
76	2.53	fear
77	2.57	fear
78	2.60	angry
79	2.63	angry
80	2.67	neutral
81	2.70	neutral
82	2.73	neutral
83	2.77	angry
84	2.80	fear
85	2.83	fear
86	2.87	neutral
87	2.90	neutral
88	2.93	neutral
89	2.97	fear
90	3.00	neutral
91	3.03	neutral
92	3.07	fear
93	3.10	fear
94	3.13	fear
95	3.17	fear
96	3.20	neutral
97	3.23	neutral
98	3.27	neutral
99	3.30	neutral
100	3.33	neutral
101	3.37	neutral
102	3.40	fear
103	3.43	fear
104	3.47	neutral
105	3.50	fear
106	3.53	neutral
107	3.57	neutral
108	3.60	fear
109	3.63	neutral
110	3.67	neutral
111	3.70	fear
112	3.73	neutral
113	3.77	neutral
114	3.80	surprise
115	3.83	surprise
116	3.87	surprise
117	3.90	neutral
118	3.93	neutral
119	3.97	fear
